mysitename,code,do_1,do_2,do_3,codes,
AR-SLu,2,0,1,1,1,Obs data available for multiple depths. Use obs data for NN.
AR-Vir,2,0,1,1,2,Obs data incomplete or inconsistent with ET bucket. ET bucket consistent with SPLASH bucket. Use ET bucket for NN.
AT-Neu,2,0,1,1,3,Obs data incomplete or inconsistent with ET bucket. ET bucket inconsistent with SPLASH bucket. Use SPLASH or SWBM bucket for NN.
AU-Ade,1,1,1,1,4,"Obs data avialable. ET bucket should not be used, but use SPLASH and SWBM."
AU-ASM,1,1,1,1,0,No consistent data
AU-Cpr,3,0,0,1,,
AU-Cum,3,0,0,1,,
AU-DaP,1,1,1,1,,
AU-DaS,1,1,1,1,,
AU-Dry,2,0,1,1,,
AU-Emr,2,0,1,1,,
AU-Fog,3,0,0,1,,
AU-Gin,2,0,1,1,,
AU-GWW,3,0,0,1,,
AU-How,1,1,1,1,,
AU-Lox,0,0,0,0,,
AU-RDF,3,0,0,1,,
AU-Rig,0,0,0,0,,
AU-Rob,1,1,1,1,,
AU-Stp,1,1,1,1,,
AU-TTE,0,0,0,0,,
AU-Tum,1,1,1,1,,
AU-Wac,1,1,1,1,,
AU-Whr,1,1,1,1,,
AU-Wom,1,1,1,1,,
AU-Ync,3,0,0,1,,
BE-Bra,2,0,1,1,,
BE-Lon,2,0,1,1,,
BE-Vie,2,0,1,1,,
BR-Sa3,1,1,1,1,,
CA-Man,0,0,0,0,,
CA-NS1,0,0,0,0,,
CA-NS2,0,0,0,0,,
CA-NS3,0,0,0,0,,
CA-NS4,0,0,0,0,,
CA-NS5,0,0,0,0,,
CA-NS6,0,0,0,0,,
CA-NS7,0,0,0,0,,
CA-Qfo,0,0,0,0,,
CA-SF1,0,0,0,0,,
CA-SF2,0,0,0,0,,
CA-SF3,0,0,0,0,,
CH-Cha,1,1,1,1,,
CH-Dav,2,0,1,1,,
CH-Fru,1,1,1,1,,
CH-Lae,2,0,1,1,,
CH-Oe1,1,1,1,1,,
CH-Oe2,2,0,1,1,,
CN-Cha,0,0,0,0,,
CN-Cng,4,0,0,0,,
CN-Dan,1,1,0,1,,
CN-Din,1,1,1,1,,
CN-Du2,1,1,1,1,,
CN-Ha2,0,0,0,0,,
CN-HaM,0,0,0,0,,
CN-Qia,2,0,1,1,,
CN-Sw2,0,0,0,0,,
CZ-BK1,2,0,1,1,,
CZ-BK2,2,0,1,1,,
CZ-wet,2,0,1,1,,
DE-Akm,2,0,1,1,,
DE-Geb,2,0,1,1,,
DE-Gri,1,1,1,1,,
DE-Hai,1,1,1,1,,
DE-Kli,2,0,1,1,,
DE-Lkb,2,0,1,1,,
DE-Obe,2,0,1,1,,
DE-RuR,2,0,1,1,,
DE-RuS,2,0,1,1,,
DE-Seh,3,0,0,1,,
DE-SfN,2,0,1,1,,
DE-Spw,2,0,1,1,,
DE-Tha,1,1,1,1,,
DK-Fou,3,0,0,1,,
DK-NuF,2,0,1,1,,
DK-Sor,2,0,1,1,,
DK-ZaF,0,0,0,0,,
DK-ZaH,0,0,0,0,,
ES-LgS,2,0,1,1,,
ES-Ln2,2,0,1,1,,
FI-Hyy,1,1,1,1,,
FI-Jok,2,0,1,1,,
FI-Lom,0,0,0,0,,
FI-Sod,2,0,1,1,,
FR-Fon,2,0,1,1,,
FR-Gri,1,1,1,1,,
FR-LBr,2,0,1,1,,
FR-Pue,2,0,1,1,,
GF-Guy,2,0,1,1,,
IT-BCi,2,0,1,1,,
IT-CA1,1,1,1,1,,
IT-CA2,1,1,1,1,,
IT-CA3,1,1,1,1,,
IT-Col,2,0,1,1,,
IT-Cp2,2,0,1,1,,
IT-Cpz,2,0,1,1,,
IT-Isp,2,0,1,1,,
IT-La2,2,0,1,1,,
IT-Lav,2,0,1,1,,
IT-MBo,2,0,1,1,,
IT-Noe,2,0,1,1,,
IT-PT1,2,0,1,1,,
IT-Ren,2,0,1,1,,
IT-Ro1,2,0,1,1,,
IT-Ro2,2,0,1,1,,
IT-SR2,2,0,1,1,,
IT-SRo,2,0,1,1,,
IT-Tor,2,0,1,1,,
JP-MBF,2,0,1,1,,
JP-SMF,2,0,1,1,,
NL-Hor,2,0,1,1,,
NL-Loo,2,0,1,1,,
NO-Adv,2,0,1,1,,
NO-Blv,0,0,0,0,,
RU-Che,0,0,0,0,,
RU-Cok,0,0,0,0,,
RU-Fyo,2,0,1,1,,
RU-Ha1,0,0,0,0,,
SD-Dem,1,1,1,1,,
SN-Dhr,1,1,1,1,,
US-AR1,1,1,1,1,,
US-AR2,1,1,1,1,,
US-ARb,1,1,1,1,,
US-ARc,1,1,1,1,,
US-ARM,1,1,1,1,,
US-Blo,1,1,1,1,,
US-Cop,2,0,1,1,,
US-GBT,0,0,0,0,,
US-GLE,2,0,1,1,,
US-Ha1,2,0,1,1,,
US-KS2,0,0,0,0,,
US-Los,2,0,1,1,,
US-Me1,0,0,0,0,,
US-Me2,1,1,1,1,,
US-Me6,1,1,1,1,,
US-MMS,1,1,1,1,,
US-Myb,3,0,0,1,,
US-Ne1,2,0,1,1,,
US-Ne2,2,0,1,1,,
US-Ne3,2,0,1,1,,
US-NR1,0,0,0,0,,
US-ORv,2,0,1,1,,
US-PFa,2,0,1,1,,
US-Prr,0,0,0,0,,
US-SRG,1,1,1,1,,
US-SRM,1,1,1,1,,
US-Syv,2,0,1,1,,
US-Ton,1,1,1,1,,
US-Tw1,3,0,0,1,,
US-Tw2,3,0,0,1,,
US-Tw3,3,0,0,1,,
US-Tw4,3,0,0,1,,
US-Twt,3,0,0,1,,
US-UMB,2,0,1,1,,
US-UMd,1,1,1,1,,
US-Var,1,1,1,1,,
US-WCr,2,0,1,1,,
US-Whs,1,1,1,1,,
US-Wi0,2,0,1,1,,
US-Wi3,2,0,1,1,,
US-Wi4,2,0,1,1,,
US-Wi6,2,0,1,1,,
US-Wi9,2,0,1,1,,
US-Wkg,1,1,1,1,,
ZA-Kru,1,1,1,1,,
ZM-Mon,2,0,1,1,,